2.340,-1.242,0.557,-2.621,-1.519,-0.712,-0.759,-0.988,-0.619,-0.649,1.096,-5.011,1.168
2.360,-1.271,0.540,-2.635,-1.442,-0.850,-0.721,-0.964,-0.705,-0.625,1.205,-4.284,1.241
2.380,-1.298,0.521,-2.649,-1.363,-0.984,-0.682,-0.938,-0.777,-0.598,1.326,-3.634,1.318
2.400,-1.323,0.498,-2.662,-1.283,-1.113,-0.641,-0.909,-0.839,-0.570,1.461,-3.071,1.397
2.420,-1.347,0.474,-2.674,-1.201,-1.236,-0.600,-0.876,-0.891,-0.541,1.612,-2.593,1.478
2.440,-1.370,0.447,-2.685,-1.118,-1.354,-0.559,-0.841,-0.935,-0.510,1.780,-2.191,1.561
2.460,-1.390,0.417,-2.695,-1.033,-1.464,-0.516,-0.802,-0.972,-0.477,1.967,-1.853,1.644
2.480,-1.409,0.386,-2.705,-0.947,-1.567,-0.473,-0.758,-1.003,-0.442,2.174,-1.567,1.728
2.500,-1.427,0.353,-2.713,-0.859,-1.663,-0.430,-0.710,-1.029,-0.406,2.403,-1.324,1.811
2.520,-1.442,0.318,-2.721,-0.771,-1.750,-0.386,-0.657,-1.052,-0.368,2.653,-1.116,1.893
2.540,-1.456,0.281,-2.728,-0.682,-1.829,-0.341,-0.598,-1.070,-0.329,2.921,-0.936,1.971
2.560,-1.467,0.243,-2.734,-0.592,-1.898,-0.296,-0.534,-1.086,-0.288,3.205,-0.778,2.045
2.580,-1.478,0.204,-2.739,-0.501,-1.959,-0.250,-0.464,-1.099,-0.245,3.497,-0.638,2.113
2.600,-1.486,0.164,-2.743,-0.410,-2.009,-0.205,-0.389,-1.109,-0.202,3.787,-0.511,2.173
2.620,-1.492,0.123,-2.746,-0.318,-2.050,-0.159,-0.307,-1.117,-0.157,4.060,-0.396,2.225
